"Fila","Columna","Damerau_Levenshtein","Jaccard","Cosine","Hamming","Sorensen_Dice","Jaro_Winkler","columna_name","fila_name","name"
"7531","8295",NA,0.1429,0.2742,0.1429,0.25,NA,"TRRAP","YWHAE","TRRAP - YWHAE"
"51322","8295",NA,0.1677,0.2896,0.1677,0.2873,NA,"TRRAP","WAC","TRRAP - WAC"
"7443","8295",NA,0.0563,0.1068,0.0563,0.1067,NA,"TRRAP","VRK1","TRRAP - VRK1"
"7874","8295",NA,0.1339,0.2372,0.1339,0.2361,NA,"TRRAP","USP7","TRRAP - USP7"
"55148","8295",NA,0.1304,0.27,0.1304,0.2308,NA,"TRRAP","UBR7","TRRAP - UBR7"
"7319","8295",NA,0.1429,0.25,0.1429,0.25,NA,"TRRAP","UBE2A","TRRAP - UBE2A"
"11338","8295",NA,0.1099,0.2399,0.1099,0.198,NA,"TRRAP","U2AF2","TRRAP - U2AF2"
"7468","8295",NA,0.1244,0.2365,0.1244,0.2213,NA,"TRRAP","NSD2","TRRAP - NSD2"
"9555","8295",NA,0.0112,0.0339,0.0112,0.0222,NA,"TRRAP","MACROH2A1","TRRAP - MACROH2A1"
"8294","8295",NA,0.1635,0.2951,0.1635,0.281,NA,"TRRAP","H4C9","TRRAP - H4C9"
"8367","8295",NA,0.1404,0.2507,0.1404,0.2462,NA,"TRRAP","H4C5","TRRAP - H4C5"
"8364","8295",NA,0.1373,0.2589,0.1373,0.2414,NA,"TRRAP","H4C3","TRRAP - H4C3"
"8363","8295",NA,0.1494,0.3192,0.1494,0.26,NA,"TRRAP","H4C11","TRRAP - H4C11"
"3021","8295",NA,0.0631,0.1261,0.0631,0.1186,NA,"TRRAP","H3-3B","TRRAP - H3-3B"
"3020","8295",NA,0.1789,0.3047,0.1789,0.3034,NA,"TRRAP","H3-3A","TRRAP - H3-3A"
"3008","8295",NA,0.0515,0.1173,0.0515,0.098,NA,"TRRAP","H1-4","TRRAP - H1-4"
"7552","11011",NA,0.0893,0.2132,0.0893,0.1639,NA,"TLK2","ZNF711","TLK2 - ZNF711"
"9640","11011",NA,0.0656,0.1461,0.0656,0.1231,NA,"TLK2","ZNF592","TLK2 - ZNF592"
"10771","11011",NA,0.1,0.2121,0.1,0.1818,NA,"TLK2","ZMYND11","TLK2 - ZMYND11"
"9203","11011",NA,0.1519,0.265,0.1519,0.2637,NA,"TLK2","ZMYM3","TLK2 - ZMYM3"
"7750","11011",NA,0.1635,0.2853,0.1635,0.281,NA,"TLK2","ZMYM2","TLK2 - ZMYM2"
"7704","11011",NA,0,0,0,0,NA,"TLK2","ZBTB16","TLK2 - ZBTB16"
"7528","11011",NA,0.1192,0.2334,0.1192,0.213,NA,"TLK2","YY1","TLK2 - YY1"
"7531","11011",NA,0.0779,0.1477,0.0779,0.1446,NA,"TLK2","YWHAE","TLK2 - YWHAE"
"51322","11011",NA,0.1603,0.2941,0.1603,0.2763,NA,"TLK2","WAC","TLK2 - WAC"
